      No     Day     Mon    Year  INConcob0000003  INConcsi0000003
     206      24       7    2012        0.6187587        0.6416962
     207      25       7    2012        0.6078005        0.6028318
     208      26       7    2012        0.6007498        0.5690863
     209      27       7    2012        0.5903814        0.7849633
     210      28       7    2012        0.6059475        0.8468749
     211      29       7    2012        0.5880089        0.7707474
     212      30       7    2012        0.3522382        0.7127594
     213      31       7    2012        0.5999070        0.6791485
     214       1       8    2012        0.6996287        0.6452151
     215       2       8    2012        0.6788982        0.6150408
     216       3       8    2012        0.7247393        0.6019677
     217       4       8    2012        0.6654229        0.5776771
     218       5       8    2012        0.6413369        0.8705464
     219       6       8    2012        0.6075416        0.6745459
     220       7       8    2012        0.5355011        0.6133914
     221       8       8    2012        0.5865467        0.5864403
     222       9       8    2012        0.5989296        0.5655757
     223      10       8    2012        0.6034581        0.5484310
     224      11       8    2012        0.5636339        0.5322211
     225      12       8    2012        0.5523189        0.5173401
     226      13       8    2012        0.5456573        0.5026426
     227      14       8    2012        0.5426248        0.4874008
     228      15       8    2012        0.5281146        0.4749286
     229      16       8    2012        0.6357289        0.4950766
     230      17       8    2012        0.6557524        0.4687295
     231      18       8    2012        0.5266887        0.4487532
     232      19       8    2012        0.4970208        0.4245348
     233      20       8    2012        0.5105806        0.4024316
     234      21       8    2012        0.4957003        0.3872065
     235      22       8    2012        0.4753723        0.3765933
     236      23       8    2012        0.4509724        0.3796470
     237      24       8    2012        0.5744371        0.4347906
     238      25       8    2012        0.5428124        0.3836104
     239      26       8    2012        0.5851887        0.4196628
     240      27       8    2012        0.5356326        0.3813185
     241      28       8    2012        0.4767732        0.3706083
     242      29       8    2012        0.4990863        0.3629921
     243      30       8    2012        0.5314804        0.3570967
     244      31       8    2012        0.5554151        0.3612249
     245       1       9    2012        0.5208697        0.3619326
     246       2       9    2012        0.5001789        0.3611653
     247       3       9    2012        0.4619373        0.3582312
     248       4       9    2012        0.4445688        0.3546581
     249       5       9    2012        0.4506093        0.3537196
     250       6       9    2012        0.4507317        0.3543645
     251       7       9    2012        0.4353161        0.3528098
     252       8       9    2012        0.4134997        0.3480003
     253       9       9    2012        0.4153332        0.3422885
     254      10       9    2012        0.4339844        0.3348098
     255      11       9    2012        0.4104607        0.3881143
     256      12       9    2012        0.4283384        0.3464641
     257      13       9    2012        0.4147550        0.3439188
