      No     Day     Mon    Year     Qobs_0000003     Qsim_0000003
     215       2       8    2012        0.1800000        0.2922728
     216       3       8    2012        0.1800000        0.2811460
     217       4       8    2012        0.1800000        0.2692064
     218       5       8    2012        0.1800000        0.4395776
     219       6       8    2012        0.4100000        0.3505042
     220       7       8    2012        0.2600000        0.3085777
     221       8       8    2012        0.1800000        0.2885858
     222       9       8    2012        0.1700000        0.2745211
     223      10       8    2012        0.1700000        0.2625534
     224      11       8    2012        0.1500000        0.2519087
     225      12       8    2012        0.1500000        0.2423526
     226      13       8    2012        0.1400000        0.2337436
     227      14       8    2012        0.1400000        0.2259673
     228      15       8    2012        0.1100000        0.2197509
     229      16       8    2012        0.1400000        0.2295994
     230      17       8    2012        0.1400000        0.2190618
     231      18       8    2012        0.1200000        0.2117935
     232      19       8    2012        0.1100000        0.2058664
     233      20       8    2012        0.1100000        0.2005828
     234      21       8    2012        0.1100000        0.1957761
     235      22       8    2012        0.1100000        0.1913790
     236      23       8    2012        0.1100000        0.1915436
     237      24       8    2012        0.1600000        0.2175130
     238      25       8    2012        0.1800000        0.1951548
     239      26       8    2012        0.1900000        0.2079636
     240      27       8    2012        0.1800000        0.1911490
     241      28       8    2012        0.1700000        0.1834309
     242      29       8    2012        0.1700000        0.1792899
     243      30       8    2012        0.1700000        0.1760512
     244      31       8    2012        0.1700000        0.1763910
     245       1       9    2012        0.1800000        0.1744359
     246       2       9    2012        0.1600000        0.1718235
     247       3       9    2012        0.1500000        0.1692471
     248       4       9    2012        0.1500000        0.1668376
     249       5       9    2012        0.1500000        0.1646005
     250       6       9    2012        0.1500000        0.1625228
     251       7       9    2012        0.1500000        0.1605904
     252       8       9    2012        0.1500000        0.1587904
     253       9       9    2012        0.1500000        0.1571111
     254      10       9    2012        0.1500000        0.1555420
     255      11       9    2012        0.2200000        0.1768396
     256      12       9    2012        0.2100000        0.1606658
     257      13       9    2012        0.2300000        0.1549235
     258      14       9    2012        0.1400000        0.1527915
     259      15       9    2012        0.1400000        0.1513741
     260      16       9    2012        0.1400000        0.1501225
     261      17       9    2012        0.1400000        0.1489548
     262      18       9    2012        0.1400000        0.1478649
     263      19       9    2012        0.1400000        0.1468424
     264      20       9    2012        0.1400000        0.1458673
     265      21       9    2012        0.1400000        0.1449435
     266      22       9    2012        0.1400000        0.1440673
     267      23       9    2012        0.1400000        0.1432365
     268      24       9    2012        0.1500000        0.1425210
     269      25       9    2012        0.1400000        0.1418880
     270      26       9    2012        0.1400000        0.2067955
     271      27       9    2012        0.1700000        0.1583251
     272      28       9    2012        0.1500000        0.1447787
     273      29       9    2012        0.1400000        0.1417091
     274      30       9    2012        0.1400000        0.1406359
     275       1      10    2012        0.1300000        0.1398902
     276       2      10    2012        0.1500000        0.1392150
     277       3      10    2012        0.1600000        0.1386821
     278       4      10    2012        0.2000000        0.3632396
     279       5      10    2012        0.2200000        0.2947724
     280       6      10    2012        0.2600000        0.2436021
     281       7      10    2012        0.2200000        0.1814177
     282       8      10    2012        0.2000000        0.1646800
     283       9      10    2012        0.2100000        0.1598269
     284      10      10    2012        0.3000000        0.1572101
     285      11      10    2012        0.3100000        0.1550612
     286      12      10    2012        0.3000000        0.1589371
     287      13      10    2012        0.3400000        0.1629421
     288      14      10    2012        0.3300000        0.2355642
     289      15      10    2012        0.3400000        0.1910186
     290      16      10    2012        0.3400000        0.1731384
     291      17      10    2012        0.3100000        0.1669746
     292      18      10    2012        0.3100000        0.1635407
     293      19      10    2012        0.2900000        0.1607487
     294      20      10    2012        0.2600000        0.1582333
     295      21      10    2012        0.2300000        0.1559251
     296      22      10    2012        0.2300000        0.1537986
     297      23      10    2012        0.2300000        0.1518356
     298      24      10    2012        0.2300000        0.1500186
     299      25      10    2012        0.2300000        0.1484189
     300      26      10    2012        0.2300000        0.1468789
     301      27      10    2012        0.2300000        0.1454249
     302      28      10    2012        0.2300000        0.1440620
     303      29      10    2012        0.2200000        0.1428202
     304      30      10    2012        0.2000000        0.1418155
     305      31      10    2012        0.2000000        0.1407491
     306       1      11    2012        0.2000000        0.1416274
     307       2      11    2012        0.2000000        0.1659798
     308       3      11    2012        0.2500000        0.2337179
     309       4      11    2012        0.2700000        0.2442424
     310       5      11    2012        0.2500000        0.2249096
     311       6      11    2012        0.2100000        0.2810195
     312       7      11    2012        0.2100000        0.2303337
     313       8      11    2012        0.2100000        0.2136617
     314       9      11    2012        0.2600000        0.2021154
     315      10      11    2012        0.2800000        0.2997739
     316      11      11    2012        0.3100000        0.2446817
     317      12      11    2012        0.2900000        0.2227375
     318      13      11    2012        0.2900000        0.2120725
     319      14      11    2012        0.2600000        0.2041958
     320      15      11    2012        0.1900000        0.1973630
     321      16      11    2012        0.1800000        0.1912353
     322      17      11    2012        0.1800000        0.1857102
     323      18      11    2012        0.1800000        0.1834933
     324      19      11    2012        0.1800000        0.1795239
     325      20      11    2012        0.1900000        0.1752407
     326      21      11    2012        0.2100000        0.1712055
     327      22      11    2012        0.2100000        0.1674969
     328      23      11    2012        0.2100000        0.1664062
     329      24      11    2012        0.2100000        0.1643268
     330      25      11    2012        0.2100000        0.1614864
     331      26      11    2012        0.1900000        0.1664962
     332      27      11    2012        0.2100000        0.1704047
     333      28      11    2012        0.2200000        0.2156173
     334      29      11    2012        0.2800000        0.2695171
     335      30      11    2012        0.3300000        0.2083422
     336       1      12    2012        0.2900000        0.1905879
     337       2      12    2012        0.2800000        0.1835143
     338       3      12    2012        0.2600000        0.1784766
     339       4      12    2012        0.2600000        0.2670603
     340       5      12    2012        0.2800000        0.2136557
     341       6      12    2012        0.2500000        0.1949198
     342       7      12    2012        0.2400000        0.1871665
     343       8      12    2012        0.2300000        0.1817480
     344       9      12    2012        0.2300000        0.1770336
     345      10      12    2012        0.2300000        0.1727548
     346      11      12    2012        0.2300000        0.1688425
     347      12      12    2012        0.2200000        0.1652563
     348      13      12    2012        0.2300000        0.1619626
     349      14      12    2012        0.2200000        0.1589319
     350      15      12    2012        0.4800000        0.4387627
     351      16      12    2012        0.9800000        0.6310606
     352      17      12    2012        1.3500000        0.8060033
     353      18      12    2012        1.6900000        0.8582964
     354      19      12    2012        1.8200000        0.7809130
     355      20      12    2012        1.6200000        0.6911343
     356      21      12    2012        1.4600000        0.6185027
     357      22      12    2012        1.3000000        0.5589998
     358      23      12    2012        2.0700000        1.9994808
     359      24      12    2012        3.7400000        2.0815124
     360      25      12    2012        3.2700000        2.4792831
     361      26      12    2012        2.9300000        3.0983934
     362      27      12    2012        3.2500000        3.0086799
     363      28      12    2012        3.4100000        2.5654058
     364      29      12    2012        2.9100000        2.2305865
     365      30      12    2012        2.5100000        2.1437298
     366      31      12    2012        2.3900000        1.8751096
